,Unnamed: 0,text,embeddings,distances
148,148,"24 June – The discovery of three Super-Earth candidates around HD 48948, a K-type dwarf star located 55 light-years away, is reported. One planet lies within the habitable zone.","[ 0.03086529  0.00384511 -0.00019268 ...  0.0007891  -0.01078457
 -0.0327193 ]",0.23235872903223642
152,152,2 July – Two new satellite galaxies of the Milky Way are discovered – Sextans II and Virgo III.,"[-0.00098325  0.01305607 -0.01245348 ...  0.01724827 -0.00889627
 -0.03454837]",0.23294063628679906
117,117,"8 May – Atmospheric gases surrounding 55 Cancri e, a hot rocky exoplanet 41 light-years from Earth, are detected by researchers using the James Webb Space Telescope. NASA reports this as ""the best evidence to date for the existence of any rocky planet atmosphere outside our solar system.""","[ 0.00942799  0.00656133  0.00022494 ...  0.00779178 -0.00338458
 -0.02069012]",0.232971531591032
131,131,"23 May – New images from the Euclid space telescope are published, including a view of the Messier 78 star nursery.","[ 0.01904799  0.02435068 -0.00764786 ...  0.00788238 -0.00076014
 -0.04249969]",0.23331784989965776
190,190,"19 September – A recently discovered near-Earth object called 2024 PT5 is calculated to become a ""mini-moon"" with a temporary orbit around Earth from September 29 until November 25. It will return in the year 2055.","[ 0.00264    -0.01263769  0.0105402  ...  0.01795395  0.00091518
 -0.03567046]",0.2345576174044589
121,121,"9 May – A study in Physical Review Letters concludes that the black hole in VFTS 243 likely formed instantaneously, with energy mainly expelled via neutrinos. This means it would have skipped the supernova stage entirely.","[-0.00576389 -0.01947181 -0.00544534 ...  0.01360505  0.01383069
 -0.01487928]",0.2352440824017601
136,136,"31 May – Biologists report that Tmesipteris oblanceolata, a fern ally plant, was found to contain the largest known genome.","[-0.00035095  0.00830798 -0.00840649 ...  0.00121664 -0.00785482
 -0.02349878]",0.23771631125176074
53,53,7 February – Saturn's moon Mimas is reported to have a subsurface ocean which formed recently (<25 Mya).,"[ 0.01450158  0.00316085 -0.00057906 ...  0.01572304  0.00027755
 -0.02962688]",0.23789955190422718
105,105,25 April – The first meta-analysis of 665 trials of conservation action such as invasive species control measuring biodiversity is published.,"[-0.00825561 -0.00189704  0.00337936 ... -0.0034312  -0.01229918
 -0.01622611]",0.2383217656277643
161,161,29 July – Scientists publish research on the simulation of gravitational waves from a failing warp drive.,"[ 0.00070856  0.01739284 -0.01349932 ...  0.02349582  0.02081482
 -0.02880394]",0.23927850264671835
130,130,20 May – The first measurements of an exoplanet's core mass are obtained by the James Webb Space Telescope. This reveals a surprisingly low amount of methane and a super-sized core within the super-Neptune WASP-107b.,"[ 0.01166432  0.00939497 -0.00963977 ...  0.00537234 -0.03355725
 -0.02408289]",0.2410668070538503
160,160,"22 July – A study indicates polymetallic nodules produce oxygen without light on the abyssal seafloor, with relevance i.a. to potential deep sea mining.","[ 0.00127326 -0.01546702  0.00382235 ...  0.0036823   0.00726212
 -0.00839619]",0.2415371460464708
